Product Name,Price,Brand,Discount,Reviews,Rating
Samsung Galaxy M05,6498.00,Samsung,35.00%,3590,4.0
realme NARZO N61,7498.00,realme,17.00%,3189,4.0
realme NARZO N61,7498.00,realme,17.00%,3189,4.0
OnePlus Nord CE4,17998.00,OnePlus,14.00%,6574,4.1
Redmi A4 5G,8498.00,Redmi,23.00%,3338,3.9
realme NARZO 80x,12998.00,realme,19.00%,349,4.1
Redmi A4 5G,9498.00,Redmi,21.00%,3338,3.9
Redmi A4 5G,8498.00,Redmi,23.00%,3338,3.9
Samsung Galaxy M35,16998.00,Samsung,31.00%,10004,4.1
realme NARZO 80x,12998.00,realme,19.00%,349,4.1
Samsung Galaxy S24,34959.00,Samsung,42.00%,138,4.1
Redmi A4 5G,9498.00,Redmi,21.00%,3338,3.9
Samsung Galaxy S24,94999.00,Samsung,30.00%,869,4.3
Samsung Galaxy M35,,Samsung,,10004,4.1
Motorola G45 5G,11790.00,Motorola,21.00%,571,4.0
realme NARZO N61,8499.00,realme,23.00%,3189,4.0
Motorola Edge 60,22659.00,Motorola,13.00%,56,4.1
Samsung Galaxy M06,10499.00,Samsung,32.00%,782,3.7
Samsung Galaxy M06,8499.00,Samsung,32.00%,782,3.7
Samsung Galaxy S24,87900.00,Samsung,35.00%,869,4.3
Samsung Galaxy M06,9198.00,Samsung,34.00%,782,3.7
Samsung Galaxy M35,18498.00,Samsung,29.00%,10004,4.1
Motorola G45 5G,11900.00,Motorola,21.00%,519,3.9
realme NARZO 80x,13998.00,realme,18.00%,349,4.1
OnePlus Nord CE4,20998.00,OnePlus,13.00%,6574,4.1
OnePlus Nord 4,29998.00,OnePlus,9.00%,3713,4.3
Samsung Galaxy M35,16999.00,Samsung,31.00%,10005,4.1
OnePlus Nord 4,29998.00,OnePlus,9.00%,3713,4.3
Samsung Galaxy M06,10499.00,Samsung,32.00%,782,3.7
Samsung Galaxy S24,92990.00,Samsung,31.00%,869,4.3
Samsung Galaxy M06,9198.00,Samsung,34.00%,782,3.7
Samsung Galaxy M16,12998.00,Samsung,26.00%,762,3.8
Motorola Edge 60,22499.00,Motorola,13.00%,13,2.8
Samsung Galaxy A35,21100.00,Samsung,38.00%,1356,4.0
OnePlus 13R |,42998.00,OnePlus,4.00%,1615,4.3
Motorola G45 5G,11839.00,Motorola,21.00%,276,4.0
Moto G85 5G,16093.00,Moto,23.00%,217,4.0
realme NARZO 70,13248.00,realme,34.00%,3328,4.2
